iter,T_K,T_C
1600,3.47040202e+02,73.8902
1625,3.47142169e+02,73.9922
1650,3.47243267e+02,74.0933
1675,3.47343499e+02,74.1935
1700,3.47442869e+02,74.2929
1725,3.47541385e+02,74.3914
1750,3.47639513e+02,74.4895
1775,3.47739164e+02,74.5892
1800,3.47841072e+02,74.6911
1825,3.47945024e+02,74.795
1850,3.48050556e+02,74.9006
1875,3.48157840e+02,75.0078
1900,3.48266947e+02,75.1169
1925,3.48377260e+02,75.2273
1950,3.48488127e+02,75.3381
1975,3.48599044e+02,75.449
2000,3.48709660e+02,75.5597
2025,3.48819733e+02,75.6697
2050,3.48929098e+02,75.7791
2075,3.49037643e+02,75.8876
2100,3.49145290e+02,75.9953
2125,3.49355585e+02,76.2056
2150,3.50185500e+02,77.0355
2175,3.50466775e+02,77.3168
2200,3.50692614e+02,77.5426
2225,3.50892058e+02,77.7421
2250,3.51077589e+02,77.9276
2275,3.51254628e+02,78.1046
2300,3.51425732e+02,78.2757
2325,3.51592190e+02,78.4422
2350,3.51754682e+02,78.6047
2375,3.51913587e+02,78.7636
2400,3.52069121e+02,78.9191
2425,3.52221420e+02,79.0714
2450,3.52370576e+02,79.2206
2475,3.52516655e+02,79.3667
2500,3.52659713e+02,79.5097
2525,3.52799802e+02,79.6498
2550,3.52936967e+02,79.787
2575,3.53071255e+02,79.9213
2600,3.53202711e+02,80.0527
2625,3.53331379e+02,80.1814
2650,3.53457305e+02,80.3073
2675,3.53580533e+02,80.4305
2700,3.53701109e+02,80.5511
2725,3.53819078e+02,80.6691
2750,3.53934487e+02,80.7845
2775,3.54047380e+02,80.8974
2800,3.54157802e+02,81.0078
2825,3.54265796e+02,81.1158
2850,3.54371405e+02,81.2214
2875,3.54474675e+02,81.3247
2900,3.54575647e+02,81.4256
2925,3.54674365e+02,81.5244
2950,3.54770870e+02,81.6209
2975,3.54865215e+02,81.7152
2987,3.54909738e+02,81.7597
3000,3.54957423e+02,81.8074
3025,3.55047539e+02,81.8975
3050,3.55135618e+02,81.9856
3075,3.55221679e+02,82.0717
3100,3.55305760e+02,82.1558
3125,3.55387909e+02,82.2379
3150,3.55468167e+02,82.3182
3175,3.55546570e+02,82.3966
3200,3.55623156e+02,82.4732
3225,3.55697953e+02,82.548
3250,3.55771003e+02,82.621
3275,3.55842346e+02,82.6923
3300,3.55912015e+02,82.762
3325,3.55980043e+02,82.83
3350,3.56046460e+02,82.8965
3375,3.56111306e+02,82.9613
3400,3.56174612e+02,83.0246
3425,3.56236411e+02,83.0864
3450,3.56296756e+02,83.1468
3475,3.56355642e+02,83.2056
3500,3.56413107e+02,83.2631
3525,3.56469185e+02,83.3192
3550,3.56523908e+02,83.3739
3575,3.56577305e+02,83.4273
3600,3.56629406e+02,83.4794
3625,3.56680237e+02,83.5302
3650,3.56729831e+02,83.5798
3675,3.56778211e+02,83.6282
3700,3.56825401e+02,83.6754
3725,3.56871414e+02,83.7214
3750,3.56916295e+02,83.7663
3775,3.56960070e+02,83.8101
3800,3.57002763e+02,83.8528
3825,3.57044399e+02,83.8944
3850,3.57084999e+02,83.935
3875,3.57124606e+02,83.9746
3900,3.57163212e+02,84.0132
3925,3.57200847e+02,84.0508
